n,wins,losses,zeros,wr,sum_r,expectancy,median,avg_win,avg_loss,payoff,pf,max_dd,max_loss_streak,best,worst,tail_gt5,tail_r_gt5,label,med_cf_mfe,med_cf_mfe_noret,pct_cf_ge1,pct_cf_ge2,pct_wick,med_beyond_r,med_bars_to_stop
5,0,5,0,0.0,-2.0700000000000003,-0.41400000000000003,-0.51,,-0.41400000000000003,,0.0,-1.3300000000000003,5,-0.04,-0.74,0,0.0,fate=not_applicable|market_like|1H,,,,,0.0,0.0,
14,0,14,0,0.0,-12.329999999999998,-0.8807142857142856,-0.935,,-0.8807142857142856,,0.0,-11.409999999999998,14,-0.33,-1.38,0,0.0,fate=stop_hunt|limit_retest|15M,2.1128932533786227,0.9301753638686436,100.0,50.0,78.57142857142857,0.0652602748244937,4.0
40,0,40,0,0.0,-32.089999999999996,-0.8022499999999999,-0.935,,-0.8022499999999999,,0.0,-31.140000000000004,40,-0.02,-1.19,0,0.0,fate=stop_hunt|limit_retest|1H,2.5220510426807,1.18479307025986,100.0,60.0,82.5,0.16691279887482835,7.5
24,0,24,0,0.0,-21.0,-0.875,-0.935,,-0.875,,0.0,-20.609999999999996,24,-0.26,-1.82,0,0.0,fate=stop_hunt|market_like|15M,3.0143194506152406,0.4390573010000416,100.0,79.16666666666666,91.66666666666666,0.07535560027807031,3.0
16,0,16,0,0.0,-15.33,-0.958125,-0.97,,-0.958125,,0.0,-14.17,16,-0.76,-1.16,0,0.0,fate=stop_hunt|market_like|1H,3.3857080348921382,2.024444444444422,100.0,75.0,81.25,0.23624778740714558,7.5
1,0,1,0,0.0,-1.2,-1.2,-1.2,,-1.2,,0.0,0.0,1,-1.2,-1.2,0,0.0,fate=stop_hunt|unknown|1H,1.0942624246480062,,100.0,0.0,100.0,0.0015197731231844092,4.0
9,9,0,0,100.0,19.5,2.1666666666666665,1.4,2.1666666666666665,,,,0.0,0,5.25,0.04,1,5.25,fate=winner_survived_stop_touch|limit_retest|15M,5.087700178606895,5.087700178606895,88.88888888888889,66.66666666666666,100.0,0.030221722223614744,0.0
57,57,0,0,100.0,503.38000000000005,8.83122807017544,3.82,8.83122807017544,,,,0.0,0,96.52,0.05,24,447.14,fate=winner_survived_stop_touch|limit_retest|1H,5.687777777777784,4.405898080107374,98.24561403508771,94.73684210526315,36.84210526315789,0.5304928989139652,0.0
8,8,0,0,100.0,21.82,2.7275,1.92,2.7275,,,,0.0,0,7.04,0.07,2,12.67,fate=winner_survived_stop_touch|market_like|15M,4.6042152886928545,4.6042152886928545,100.0,87.5,100.0,0.36345268586295987,0.0
5,5,0,0,100.0,84.58,16.916,2.13,16.916,,,,0.0,0,50.35,0.2,2,81.21000000000001,fate=winner_survived_stop_touch|market_like|1H,7.773000000000025,6.828519027968815,80.0,80.0,40.0,0.4797979797979737,0.0
